 QUESTION     FORCE
      Q23 1.3773799
       Q4 1.3381790
      Q36 1.2572941
      Q39 1.2540715
      Q15 1.2413240
      Q38 1.1320613
      Q34 1.1261847
      Q21 1.1029526
      Q37 1.0848841
      Q26 1.0839468
      Q35 1.0762874
      Q33 1.0612179
      Q41 1.0452225
      Q16 1.0448853
      Q28 1.0308726
       Q7 1.0248239
      Q27 1.0232526
      Q30 1.0130342
      Q31 1.0042187
      Q42 1.0028843
      Q17 0.9938340
      Q32 0.9935523
      Q24 0.9915639
      Q18 0.9870710
      Q13 0.9557802
      Q40 0.9464039
      Q22 0.8871734
      Q20 0.8784427
      Q11 0.8598915
      Q29 0.7939670
      Q25 0.7866354
      Q10 0.7186287
      Q19 0.6755182
       Q3 0.6387228
       Q6 0.6204003
      Q14 0.6114560
       Q8 0.5848957
      Q12 0.5367989
       Q9 0.5342942
       Q1 0.5168835
       Q5 0.4848072
       Q2 0.3356555
