 QUESTION     FORCE
      Q23 1.3802041
       Q4 1.3407826
      Q36 1.2611539
      Q39 1.2586110
      Q15 1.2454378
      Q38 1.1360810
      Q34 1.1273962
      Q21 1.1038419
      Q37 1.0847640
      Q26 1.0840167
      Q35 1.0797752
      Q33 1.0617175
      Q41 1.0529173
      Q16 1.0487778
      Q28 1.0320662
      Q27 1.0310085
       Q7 1.0248766
      Q30 1.0168928
      Q42 1.0155344
      Q31 1.0074026
      Q17 0.9959391
      Q32 0.9958017
      Q24 0.9936732
      Q18 0.9896612
      Q13 0.9573561
      Q40 0.9478716
      Q22 0.8938056
      Q20 0.8813275
      Q11 0.8606171
      Q29 0.7973125
      Q25 0.7893242
      Q10 0.7202565
      Q19 0.6759536
       Q3 0.6412138
      Q14 0.6213920
       Q6 0.6191923
       Q8 0.5864638
      Q12 0.5420594
       Q9 0.5401919
       Q1 0.5183595
       Q5 0.4945958
       Q2 0.3345628
