 QUESTION     FORCE
      Q36 1.4306816
      Q41 1.3938916
      Q34 1.2216453
      Q39 1.2119741
      Q33 1.1428171
      Q38 1.1277379
      Q27 1.1268797
      Q35 1.1147810
      Q37 1.1042343
      Q21 1.0893801
      Q26 1.0677347
      Q16 1.0466901
      Q24 1.0366692
      Q42 1.0231301
      Q28 1.0115898
      Q13 0.9941696
      Q40 0.9586395
      Q17 0.9539645
      Q30 0.9498976
      Q18 0.9491771
      Q22 0.9401737
      Q32 0.9392976
      Q20 0.9373943
      Q31 0.9339767
      Q11 0.9013021
      Q25 0.8965350
      Q29 0.8010678
      Q19 0.7240698
      Q10 0.7055935
       Q8 0.6995650
      Q14 0.6847426
       Q6 0.5816111
      Q12 0.5622205
       Q3 0.5614635
       Q9 0.5369180
       Q1 0.5148249
       Q5 0.4921927
       Q2 0.2829479
