 QUESTION     FORCE
      Q36 1.5412160
      Q39 1.2802265
      Q38 1.1613714
      Q34 1.1518377
      Q27 1.1391338
      Q37 1.1162388
      Q35 1.1040204
      Q25 1.0828308
      Q26 1.0711705
      Q33 1.0685814
      Q21 1.0597378
      Q16 1.0551549
      Q42 1.0515453
      Q28 1.0106383
      Q31 0.9926443
      Q30 0.9867470
      Q24 0.9689460
      Q32 0.9652720
      Q17 0.9618630
      Q18 0.9522981
      Q13 0.9420505
      Q20 0.9374444
      Q40 0.8780105
      Q22 0.8522609
      Q11 0.8334121
      Q29 0.8244299
      Q19 0.6912555
      Q10 0.6517373
      Q14 0.6333597
       Q6 0.6329047
       Q8 0.6245526
       Q1 0.6170023
       Q9 0.5368863
      Q12 0.5352038
       Q3 0.5200328
       Q5 0.4923566
       Q2 0.4408938
