 QUESTION     FORCE
      Q36 1.7238833
      Q39 1.2802231
      Q34 1.1683655
      Q38 1.1519816
      Q25 1.1428930
      Q35 1.1419436
      Q27 1.1336447
      Q37 1.1064377
      Q21 1.0623988
      Q16 1.0557300
      Q26 1.0542415
      Q33 1.0466567
      Q42 1.0424985
      Q32 1.0008896
      Q28 0.9993934
      Q31 0.9974517
      Q30 0.9814910
      Q24 0.9812346
      Q17 0.9667968
      Q18 0.9469000
      Q13 0.9405409
      Q22 0.8821254
      Q20 0.8639067
      Q40 0.8386034
      Q11 0.8382294
      Q29 0.8353363
      Q19 0.6674409
      Q10 0.6580017
      Q14 0.6341952
       Q6 0.6329976
       Q8 0.6322266
       Q1 0.5552454
      Q12 0.5537709
       Q3 0.5180170
       Q9 0.4943060
       Q5 0.4930497
       Q2 0.4231026
