 QUESTION     FORCE
      Q41 1.4116831
      Q36 1.3326285
      Q27 1.1747777
      Q34 1.1701186
      Q39 1.1641864
      Q38 1.1435462
      Q33 1.1380941
      Q21 1.1055827
      Q16 1.0883351
      Q26 1.0832771
      Q35 1.0597793
      Q37 1.0574330
      Q30 1.0542770
      Q28 1.0341065
      Q24 1.0289456
      Q13 0.9974413
      Q17 0.9897641
      Q32 0.9876233
      Q40 0.9781360
      Q22 0.9436177
      Q42 0.9275128
      Q31 0.9247768
      Q18 0.9084941
      Q20 0.9079201
      Q11 0.8869533
      Q25 0.8838831
      Q29 0.8449436
      Q19 0.7798344
      Q10 0.7577948
       Q8 0.7239325
      Q14 0.6765766
       Q6 0.6259368
       Q3 0.6256603
       Q9 0.5781065
       Q5 0.5521487
      Q12 0.5366814
       Q1 0.5302486
       Q2 0.2586627
