 QUESTION     FORCE
      Q15 1.4293318
      Q23 1.2910822
      Q33 1.1919976
      Q38 1.1520885
       Q4 1.1517480
      Q36 1.1458350
      Q39 1.1306505
      Q34 1.1102835
      Q26 1.1007551
      Q42 1.0944608
      Q21 1.0900425
      Q16 1.0737848
      Q37 1.0690076
      Q35 1.0447749
      Q28 1.0391345
      Q27 1.0384155
      Q22 1.0277228
      Q32 1.0180694
       Q7 1.0160508
      Q24 1.0106461
      Q40 1.0043327
      Q18 1.0029376
      Q13 0.9961337
      Q31 0.9815549
      Q20 0.9541315
      Q30 0.9295415
      Q17 0.9260090
      Q41 0.9178492
      Q11 0.9117532
      Q19 0.8605928
      Q10 0.8187483
      Q29 0.8040737
       Q8 0.7602471
      Q25 0.7569120
      Q14 0.6734417
       Q3 0.6473906
       Q6 0.6123046
       Q9 0.5837080
       Q1 0.5805039
       Q5 0.5658024
      Q12 0.5228591
       Q2 0.2911077
