 QUESTION     FORCE
      Q36 1.3866114
      Q39 1.2306580
      Q34 1.2034727
      Q38 1.1894927
      Q37 1.1709260
      Q42 1.0528785
      Q27 1.0401287
      Q26 1.0213207
      Q16 1.0199486
      Q30 1.0168334
      Q33 1.0158024
      Q24 1.0136036
      Q35 1.0116818
      Q18 0.9922900
      Q31 0.9859785
      Q25 0.9716916
      Q28 0.9701048
      Q40 0.9461385
      Q32 0.9391062
      Q17 0.9215695
      Q13 0.9151441
      Q29 0.9124931
      Q21 0.9034414
      Q20 0.8944602
      Q19 0.8504518
      Q11 0.8416576
      Q22 0.8263293
       Q1 0.7199503
       Q8 0.6646722
      Q10 0.6339947
      Q14 0.6179100
      Q12 0.5672902
       Q3 0.5229943
       Q6 0.4839332
       Q9 0.4711237
       Q2 0.3168854
       Q5 0.3141243
