 QUESTION      FORCE
      Q30 1.26844258
      Q34 1.26132399
      Q28 1.20677426
      Q27 1.17832950
      Q39 1.17296544
      Q32 1.13517092
      Q33 1.13490119
      Q42 1.12473436
      Q24 1.12350750
      Q37 1.11829266
      Q16 1.05125285
      Q38 1.05072509
      Q21 1.00643365
      Q26 0.97765596
      Q35 0.93220908
      Q13 0.93049873
      Q17 0.92395554
      Q31 0.89129321
      Q40 0.81643216
      Q29 0.80918397
      Q10 0.73084931
       Q6 0.70489378
       Q9 0.69584599
      Q18 0.69476799
      Q14 0.68385531
      Q11 0.62289817
      Q22 0.59734801
      Q12 0.54306427
       Q1 0.51345939
       Q8 0.51344626
       Q3 0.46496141
       Q5 0.30125087
       Q2 0.01739556
