 QUESTION       FORCE
      Q34  1.72437447
      Q30  1.47644927
      Q39  1.21792737
      Q27  1.19757667
      Q32  1.16252091
      Q42  1.15240909
      Q37  1.13659706
      Q33  1.11616857
      Q28  1.11557739
      Q38  1.07953815
      Q21  1.02547953
      Q24  0.97913871
      Q26  0.95906213
      Q35  0.95577123
      Q31  0.92955454
      Q16  0.90841387
      Q13  0.90280386
      Q40  0.80392380
       Q6  0.76886317
      Q10  0.76525049
      Q29  0.76022069
      Q17  0.75858793
      Q14  0.73674751
      Q18  0.67960280
       Q9  0.67278191
      Q11  0.62439554
      Q22  0.56175577
       Q8  0.54838459
      Q12  0.52049913
       Q3  0.46389723
       Q1  0.43926889
       Q5  0.32648844
       Q2 -0.02917634
