 QUESTION      FORCE
      Q36  3.3492310
      Q34  1.3680138
      Q27  1.3211499
      Q39  1.1790863
      Q25  1.1524181
      Q16  1.1267481
      Q38  1.1111248
      Q37  1.0820523
      Q32  1.0643378
      Q35  1.0330197
      Q31  0.9461613
      Q26  0.9443733
      Q13  0.9407990
      Q42  0.8943868
      Q21  0.8889054
      Q40  0.8617436
      Q17  0.7935940
      Q24  0.7634115
      Q14  0.7223986
      Q29  0.7080315
      Q11  0.7004426
      Q10  0.6382370
      Q18  0.6337115
      Q22  0.6290383
      Q30  0.6006483
       Q9  0.5652098
      Q28  0.4866235
      Q20  0.4645279
       Q5  0.4004231
      Q33  0.3307522
      Q19  0.2992538
       Q6  0.2757164
       Q2  0.2688792
       Q3  0.1749969
      Q12 -0.2773710
       Q8 -0.6576586
       Q1 -0.8821828
