 QUESTION     FORCE
      Q41 1.8738845
      Q33 1.3158896
      Q34 1.1865769
      Q16 1.1636504
      Q32 1.1543934
      Q36 1.1495238
      Q28 1.0948099
      Q22 1.0762240
      Q35 1.0721354
      Q21 1.0632764
      Q13 1.0601854
      Q38 1.0438444
      Q24 1.0347866
      Q25 1.0133242
      Q39 0.9959221
      Q37 0.9883043
      Q40 0.9844369
      Q31 0.9833677
      Q26 0.9613305
      Q29 0.9473324
      Q20 0.9380968
      Q17 0.9295946
      Q30 0.9227515
      Q27 0.9056590
      Q10 0.8798675
      Q18 0.8726397
      Q42 0.7795301
       Q8 0.7365340
      Q14 0.7088095
       Q3 0.6951186
      Q19 0.6038926
      Q11 0.5810545
       Q9 0.5578819
      Q12 0.5338524
       Q6 0.4731728
       Q5 0.3876821
       Q1 0.2838623
       Q2 0.1583703
