 QUESTION     FORCE
      Q15 1.3928258
      Q23 1.2501442
      Q39 1.2473736
      Q36 1.2275301
      Q38 1.1750404
      Q16 1.1401332
      Q34 1.1204562
      Q42 1.1080465
      Q28 1.0854249
      Q26 1.0837323
      Q37 1.0775851
       Q4 1.0543889
      Q40 1.0506582
       Q7 1.0406508
      Q41 1.0386595
      Q24 1.0382430
      Q21 1.0341483
      Q33 1.0240784
      Q35 1.0149421
      Q31 1.0027180
       Q1 1.0001336
      Q19 0.9981815
      Q32 0.9934561
      Q30 0.9831525
      Q20 0.9754074
      Q27 0.9475050
      Q18 0.9192793
      Q13 0.9172221
      Q17 0.9098110
      Q25 0.7839867
      Q22 0.7723299
      Q10 0.7078762
       Q3 0.6200509
      Q11 0.6133477
      Q29 0.5730755
       Q9 0.5302627
       Q8 0.5297444
       Q6 0.5124115
      Q14 0.4964793
       Q5 0.3816131
      Q12 0.3578130
       Q2 0.3389954
