 QUESTION     FORCE
       Q7 1.2475047
      Q15 1.2308681
       Q4 1.1810491
      Q21 1.1753796
      Q33 1.1530794
      Q19 1.1295480
      Q13 1.1268193
      Q37 1.1254398
      Q27 1.1157478
      Q16 1.0856533
      Q34 1.0513417
      Q38 1.0396280
      Q23 1.0321586
      Q35 1.0296297
      Q24 1.0210708
      Q20 1.0174745
      Q22 0.9960207
      Q42 0.9707036
      Q26 0.9559117
      Q32 0.9413213
      Q36 0.9391409
      Q31 0.9157528
      Q40 0.9132019
      Q11 0.8887005
      Q39 0.8873168
      Q28 0.8594046
      Q30 0.8280997
      Q17 0.8263970
      Q25 0.8136402
      Q18 0.8018599
       Q8 0.7240151
      Q41 0.7228729
      Q29 0.7101561
      Q10 0.6873193
       Q3 0.6766713
      Q14 0.5310296
       Q5 0.5247606
       Q9 0.4941888
      Q12 0.4824301
       Q1 0.4583537
       Q2 0.3421029
       Q6 0.3003648
