 QUESTION       FORCE
      Q26  1.26978129
      Q28  1.17392002
      Q34  1.16247849
      Q32  1.15924464
      Q39  1.15190940
      Q38  1.13304607
      Q16  1.11664217
      Q37  1.07223088
      Q33  1.07030211
      Q31  1.06712547
      Q18  1.04219250
      Q11  1.03755034
      Q42  0.98243042
      Q35  0.96963437
      Q21  0.96797156
      Q27  0.92447372
      Q24  0.88793328
      Q22  0.86716593
      Q14  0.85937590
      Q40  0.85192103
      Q29  0.83185124
      Q13  0.82865404
      Q10  0.78767454
      Q17  0.77495912
       Q6  0.65372324
       Q3  0.65092174
      Q12  0.63442228
       Q8  0.63054258
      Q30  0.62293795
       Q5  0.44599506
       Q9  0.38074367
       Q1  0.21950241
       Q2 -0.04304806
