 QUESTION     FORCE
      Q36 1.4499761
      Q39 1.3930282
      Q35 1.2523066
      Q27 1.1897285
      Q18 1.1298756
      Q16 1.1285263
      Q38 1.1265700
      Q25 1.0974581
      Q41 1.0751890
      Q17 1.0742734
      Q37 1.0669509
      Q34 1.0631495
      Q26 1.0528500
      Q24 1.0140978
      Q13 1.0096960
      Q21 1.0047526
      Q33 0.9972617
      Q20 0.9645897
      Q22 0.9581546
      Q42 0.9580562
      Q30 0.9226031
      Q28 0.9146502
      Q31 0.9128392
      Q11 0.8967511
      Q40 0.8945841
      Q32 0.8153367
      Q10 0.8095228
      Q29 0.8035718
      Q19 0.7863185
       Q1 0.7779951
      Q14 0.6801821
       Q3 0.5899576
       Q9 0.5886014
      Q12 0.5697215
       Q8 0.5681834
       Q6 0.4916118
       Q5 0.4815205
       Q2 0.4487394
