 QUESTION     FORCE
      Q41 1.4804566
      Q36 1.3407244
      Q39 1.2562480
      Q34 1.1643374
      Q38 1.1383042
      Q33 1.1070450
      Q21 1.0946246
      Q37 1.0924922
      Q27 1.0818677
      Q35 1.0792450
      Q26 1.0722456
      Q16 1.0483162
      Q28 1.0362540
      Q42 1.0260701
      Q24 1.0095740
      Q18 0.9940305
      Q30 0.9857328
      Q17 0.9854292
      Q31 0.9661138
      Q13 0.9659196
      Q32 0.9550114
      Q40 0.9500665
      Q25 0.9477990
      Q20 0.9391617
      Q22 0.9177636
      Q11 0.9043137
      Q29 0.8121256
      Q19 0.7639335
      Q10 0.7301584
      Q14 0.6746523
       Q8 0.6586191
       Q3 0.6144656
       Q6 0.6089152
       Q1 0.5570712
      Q12 0.5517912
       Q9 0.5451763
       Q5 0.5041459
       Q2 0.3334585
