 QUESTION     FORCE
      Q41 1.4835780
      Q36 1.3438471
      Q39 1.2592733
      Q34 1.1657516
      Q38 1.1403132
      Q33 1.1080914
      Q21 1.0945171
      Q37 1.0943249
      Q27 1.0865718
      Q35 1.0825922
      Q26 1.0726962
      Q16 1.0526767
      Q28 1.0360806
      Q42 1.0302913
      Q24 1.0127105
      Q18 0.9942478
      Q30 0.9893099
      Q17 0.9880525
      Q31 0.9681571
      Q13 0.9677787
      Q32 0.9574497
      Q25 0.9537811
      Q40 0.9523420
      Q20 0.9419834
      Q22 0.9220881
      Q11 0.9035200
      Q29 0.8140370
      Q19 0.7634539
      Q10 0.7323651
      Q14 0.6774262
       Q8 0.6609984
       Q3 0.6150583
       Q6 0.6109478
       Q1 0.5583286
      Q12 0.5552095
       Q9 0.5492203
       Q5 0.5060200
       Q2 0.3333803
