 QUESTION     FORCE
      Q41 1.5147366
      Q36 1.3713779
      Q39 1.2508309
      Q34 1.1750012
      Q38 1.1393860
      Q35 1.1056108
      Q33 1.1029782
      Q21 1.0981578
      Q37 1.0942824
      Q27 1.0816504
      Q26 1.0759833
      Q16 1.0488651
      Q28 1.0273695
      Q42 1.0159184
      Q24 1.0091399
      Q30 0.9894546
      Q18 0.9850923
      Q17 0.9837760
      Q32 0.9722597
      Q13 0.9700507
      Q31 0.9655380
      Q25 0.9456973
      Q40 0.9451795
      Q20 0.9242591
      Q22 0.9219985
      Q11 0.9007278
      Q29 0.8119584
      Q19 0.7563244
      Q10 0.7286681
      Q14 0.6709607
       Q8 0.6575483
       Q6 0.6110868
       Q3 0.6098027
      Q12 0.5546702
       Q1 0.5439321
       Q9 0.5400752
       Q5 0.5052703
       Q2 0.3298231
