 QUESTION      FORCE
      Q23 2.10251911
       Q4 1.46452415
      Q15 1.31870158
      Q36 1.28439160
      Q39 1.24053636
      Q38 1.13446596
      Q34 1.13319414
      Q35 1.10187746
      Q21 1.09547460
      Q26 1.08581582
      Q37 1.08449604
      Q33 1.05218453
      Q16 1.04471670
      Q27 1.02487393
      Q28 1.02376233
      Q30 1.01692026
      Q32 1.01074482
      Q31 0.99540151
      Q17 0.99435055
      Q24 0.99085211
      Q42 0.97798078
      Q41 0.97733151
      Q18 0.96587933
      Q40 0.94833794
      Q13 0.94335666
      Q22 0.89254653
      Q20 0.86011554
      Q29 0.80717535
      Q11 0.79372286
       Q7 0.72921945
      Q10 0.68004645
      Q25 0.66347951
       Q6 0.61436396
       Q3 0.60082665
      Q14 0.55878926
      Q12 0.53957632
      Q19 0.53234189
       Q8 0.52430959
       Q9 0.51510019
       Q5 0.44216699
       Q1 0.21734627
       Q2 0.06260165
