 QUESTION     FORCE
      Q36 1.3927248
      Q41 1.3629306
      Q39 1.2189179
      Q34 1.2050810
      Q33 1.1427119
      Q38 1.1312532
      Q27 1.1218629
      Q37 1.1020532
      Q21 1.0837057
      Q35 1.0792313
      Q26 1.0601386
      Q16 1.0472077
      Q24 1.0390894
      Q42 1.0265166
      Q28 1.0208477
      Q13 0.9828300
      Q40 0.9648040
      Q20 0.9577133
      Q18 0.9552124
      Q17 0.9538708
      Q30 0.9395007
      Q22 0.9316054
      Q31 0.9290430
      Q32 0.9191228
      Q11 0.9030271
      Q25 0.8993552
      Q29 0.7993785
      Q19 0.7295635
      Q10 0.7009556
       Q8 0.6915056
      Q14 0.6846002
       Q6 0.5727618
       Q3 0.5633962
      Q12 0.5556507
       Q9 0.5351496
       Q1 0.5164485
       Q5 0.4906019
       Q2 0.2857325
