 QUESTION     FORCE
      Q36 1.3968111
      Q41 1.3731193
      Q39 1.2248307
      Q34 1.2060038
      Q33 1.1495306
      Q38 1.1338157
      Q27 1.1329924
      Q37 1.1074224
      Q35 1.0882545
      Q21 1.0851029
      Q26 1.0629834
      Q16 1.0525066
      Q24 1.0403907
      Q42 1.0354781
      Q28 1.0221141
      Q13 0.9880708
      Q40 0.9671566
      Q17 0.9626217
      Q20 0.9625675
      Q18 0.9571689
      Q30 0.9450945
      Q22 0.9415182
      Q31 0.9340507
      Q32 0.9263928
      Q25 0.9052202
      Q11 0.9045296
      Q29 0.8040665
      Q19 0.7283913
      Q10 0.7039378
       Q8 0.7011989
      Q14 0.6887038
       Q6 0.5818472
       Q3 0.5667240
      Q12 0.5636446
       Q9 0.5480167
       Q1 0.5260905
       Q5 0.4946590
       Q2 0.2847028
