 QUESTION     FORCE
      Q36 1.5459687
      Q39 1.2915816
      Q38 1.1680526
      Q34 1.1565221
      Q27 1.1505188
      Q37 1.1247976
      Q35 1.1159369
      Q25 1.0917131
      Q26 1.0728958
      Q33 1.0719828
      Q21 1.0640219
      Q16 1.0633855
      Q42 1.0569058
      Q28 1.0241285
      Q31 1.0004821
      Q30 0.9934638
      Q24 0.9803091
      Q32 0.9790434
      Q17 0.9680162
      Q18 0.9581312
      Q20 0.9434210
      Q13 0.9426394
      Q40 0.8867788
      Q22 0.8807851
      Q29 0.8398785
      Q11 0.8354268
      Q19 0.6953122
      Q10 0.6575386
      Q14 0.6504417
       Q8 0.6388411
       Q6 0.6346089
       Q1 0.6273149
      Q12 0.5600466
       Q9 0.5457913
       Q3 0.5282963
       Q5 0.4971123
       Q2 0.4365493
