 QUESTION     FORCE
      Q36 1.4668697
      Q39 1.3102731
      Q34 1.2051570
      Q27 1.1682602
      Q37 1.1663607
      Q33 1.1364804
      Q21 1.1246329
      Q35 1.0864867
      Q38 1.0699121
      Q24 1.0559105
      Q17 1.0554254
      Q26 1.0433054
      Q28 1.0074145
      Q42 1.0008786
      Q16 0.9994051
      Q18 0.9921169
      Q32 0.9802929
      Q13 0.9785640
      Q30 0.9689902
      Q40 0.9447479
      Q31 0.9375630
      Q11 0.9136680
      Q20 0.9086108
      Q22 0.8761889
      Q29 0.7694017
      Q19 0.7340717
      Q14 0.7140297
      Q10 0.6779415
       Q6 0.6621536
       Q8 0.6317605
       Q1 0.6027844
       Q3 0.5960779
      Q12 0.5550161
       Q9 0.5120125
       Q5 0.4914095
       Q2 0.3490423
