 QUESTION     FORCE
      Q36 1.5500733
      Q39 1.2966550
      Q34 1.2077925
      Q37 1.1653785
      Q27 1.1628854
      Q21 1.1464159
      Q33 1.1241685
      Q35 1.1100321
      Q26 1.0558743
      Q24 1.0473972
      Q17 1.0435774
      Q38 1.0429375
      Q32 0.9992693
      Q13 0.9935553
      Q16 0.9908008
      Q42 0.9894986
      Q28 0.9804773
      Q18 0.9798213
      Q30 0.9567944
      Q31 0.9421017
      Q40 0.9304221
      Q11 0.9094297
      Q22 0.8753158
      Q20 0.8693241
      Q29 0.7669159
      Q19 0.7277981
      Q14 0.7073515
      Q10 0.6805306
       Q6 0.6624167
       Q8 0.6270752
       Q3 0.5878702
       Q1 0.5847319
      Q12 0.5524698
       Q9 0.4911415
       Q5 0.4880451
       Q2 0.3355840
