 QUESTION     FORCE
      Q15 1.4257926
      Q23 1.2839940
      Q33 1.1802885
      Q38 1.1476131
       Q4 1.1462979
      Q36 1.1372577
      Q39 1.1158915
      Q34 1.1014303
      Q26 1.0978849
      Q21 1.0875139
      Q42 1.0773559
      Q16 1.0716977
      Q37 1.0608319
      Q35 1.0299380
      Q27 1.0283304
      Q28 1.0263123
       Q7 1.0110108
      Q22 1.0068738
      Q32 1.0061284
      Q40 0.9941599
      Q13 0.9908495
      Q24 0.9895954
      Q18 0.9853481
      Q31 0.9651832
      Q20 0.9459295
      Q30 0.9250537
      Q17 0.9198240
      Q11 0.9042574
      Q41 0.9030802
      Q19 0.8604483
      Q10 0.8118143
      Q29 0.7971821
       Q8 0.7475862
      Q25 0.7403048
      Q14 0.6450061
       Q3 0.6416015
       Q6 0.6010488
       Q1 0.5734831
       Q9 0.5529799
       Q5 0.5350273
      Q12 0.5056480
       Q2 0.2922826
