 QUESTION     FORCE
      Q11 1.1429880
      Q13 1.1426868
       Q7 1.1173679
      Q28 1.1057732
      Q21 1.0989390
      Q34 1.0589624
       Q1 1.0526441
      Q33 1.0521725
      Q38 1.0357736
      Q36 1.0257854
       Q4 1.0242984
      Q12 1.0235073
      Q17 1.0200079
      Q10 1.0178213
      Q27 1.0165503
      Q29 0.9996534
       Q5 0.9930536
      Q20 0.9889189
      Q16 0.9871942
      Q24 0.9806030
       Q8 0.9709403
      Q39 0.9615277
      Q22 0.9599536
      Q26 0.9587255
       Q3 0.9563452
      Q32 0.9546144
      Q41 0.9522627
      Q40 0.9451049
      Q31 0.9384069
       Q9 0.9366813
      Q35 0.9117305
      Q23 0.8973598
      Q37 0.8952221
       Q6 0.8770900
      Q30 0.8695097
      Q15 0.8412410
      Q25 0.8367952
      Q42 0.7784461
      Q19 0.7114887
      Q14 0.6900134
      Q18 0.6468150
       Q2 0.6192094
