 QUESTION     FORCE
      Q13 1.1451552
      Q11 1.1438441
       Q7 1.1192624
      Q28 1.1064700
      Q21 1.0997260
      Q34 1.0602094
       Q1 1.0545071
      Q33 1.0543350
      Q38 1.0366116
      Q36 1.0276374
       Q4 1.0265339
      Q12 1.0253847
      Q27 1.0211637
      Q17 1.0202924
      Q10 1.0176216
      Q29 1.0048589
      Q20 0.9947556
       Q5 0.9939976
      Q16 0.9891839
      Q24 0.9814428
       Q8 0.9744868
      Q22 0.9645707
      Q39 0.9644268
      Q26 0.9607898
      Q32 0.9590837
       Q3 0.9581673
      Q41 0.9546725
      Q40 0.9482228
      Q31 0.9438127
       Q9 0.9383895
      Q35 0.9135395
      Q23 0.9015628
      Q37 0.8963199
       Q6 0.8770680
      Q30 0.8725994
      Q15 0.8452222
      Q25 0.8391974
      Q42 0.7802180
      Q19 0.7149580
      Q14 0.6925817
      Q18 0.6506453
       Q2 0.6246310
