 QUESTION     FORCE
      Q21 1.0924013
       Q7 1.0698109
      Q13 1.0680089
      Q28 1.0624704
      Q33 1.0598326
      Q11 1.0568752
       Q1 1.0491552
      Q38 1.0193347
      Q17 1.0151391
      Q10 1.0069050
      Q34 1.0035661
       Q4 0.9916018
      Q36 0.9882607
      Q41 0.9726092
      Q27 0.9633165
      Q24 0.9623010
      Q12 0.9561923
      Q29 0.9560697
       Q3 0.9543323
      Q16 0.9496053
      Q20 0.9491024
      Q26 0.9183003
      Q40 0.9013999
       Q9 0.8971458
      Q32 0.8942405
      Q39 0.8932745
       Q5 0.8857134
      Q31 0.8792638
       Q8 0.8782635
      Q37 0.8683297
      Q22 0.8614959
       Q6 0.8598945
      Q35 0.8474766
      Q25 0.8383599
      Q30 0.8241635
      Q23 0.8148505
      Q42 0.7900393
      Q15 0.7794973
      Q19 0.7500246
      Q14 0.6875528
       Q2 0.6559202
      Q18 0.6413967
