 QUESTION     FORCE
      Q21 1.1122342
      Q33 1.1030367
      Q13 1.1018177
       Q1 1.1015757
      Q11 1.0976976
       Q7 1.0919458
      Q28 1.0904201
      Q36 1.0479649
      Q17 1.0476245
      Q38 1.0351438
      Q34 1.0325095
      Q10 1.0310089
       Q4 1.0108999
      Q24 1.0082234
      Q29 1.0082143
      Q20 1.0048781
      Q27 0.9943373
      Q41 0.9940604
       Q3 0.9901643
      Q26 0.9824127
      Q12 0.9792501
      Q16 0.9716568
      Q32 0.9601950
      Q40 0.9445798
       Q9 0.9432687
       Q5 0.9341573
      Q39 0.9253924
       Q8 0.9240459
      Q31 0.9232240
      Q35 0.9147826
      Q22 0.9120173
       Q6 0.8933959
      Q37 0.8886478
      Q23 0.8796735
      Q25 0.8766254
      Q30 0.8717359
      Q15 0.8602880
      Q42 0.8526225
      Q19 0.7784598
      Q14 0.7192189
       Q2 0.7055333
      Q18 0.6935841
