 QUESTION     FORCE
      Q36 1.5722314
      Q34 1.2998610
      Q39 1.2818464
      Q37 1.2165520
      Q38 1.2087490
      Q42 1.1225272
      Q27 1.1102327
      Q35 1.0486779
      Q26 1.0486673
      Q30 1.0330695
      Q16 1.0296499
      Q31 1.0193647
      Q25 1.0061991
      Q24 0.9986207
      Q33 0.9760758
      Q28 0.9755515
      Q32 0.9747846
      Q21 0.9728331
      Q18 0.9608411
      Q40 0.9433217
      Q20 0.9402221
      Q29 0.9071685
      Q13 0.9063126
      Q17 0.8720933
      Q22 0.8719411
      Q11 0.8593318
      Q19 0.7816434
       Q1 0.7612157
       Q8 0.6913239
      Q14 0.6611469
      Q12 0.5841341
      Q10 0.5839504
       Q3 0.5268364
       Q6 0.4988580
       Q9 0.4784727
       Q2 0.3677074
       Q5 0.3266045
