 QUESTION     FORCE
      Q36 1.4316346
      Q27 1.4076344
      Q35 1.2913695
      Q41 1.2432458
      Q26 1.1395341
      Q34 1.1153997
      Q18 1.0865790
      Q39 1.0593177
      Q21 1.0513698
      Q38 1.0494373
      Q37 1.0463184
      Q16 1.0435132
      Q20 1.0300767
      Q25 1.0049124
      Q13 0.9964632
      Q30 0.9921213
      Q40 0.9535505
      Q17 0.9421933
      Q31 0.9258664
      Q24 0.9068387
      Q33 0.9034779
      Q28 0.9010602
      Q42 0.7930737
      Q32 0.7386285
      Q10 0.7266700
      Q29 0.7081223
       Q6 0.6909991
       Q8 0.6469883
      Q22 0.6458189
      Q19 0.6000804
      Q14 0.5300994
       Q3 0.5188564
       Q5 0.4909868
      Q12 0.4774940
       Q1 0.4457883
      Q11 0.4121426
       Q2 0.3831210
       Q9 0.2935613
