 QUESTION      FORCE
      Q41  2.4917235
      Q36  1.7371949
      Q27  1.4731786
      Q35  1.3300283
      Q18  1.1723024
      Q34  1.1567625
      Q26  1.1214194
      Q21  1.0690061
      Q38  1.0546602
      Q37  1.0060057
      Q39  1.0036728
      Q16  0.9896980
      Q13  0.9832535
      Q17  0.9732810
      Q31  0.9687420
      Q24  0.9227728
      Q42  0.9178595
      Q30  0.9142249
      Q33  0.9017025
      Q28  0.9002882
      Q20  0.7873049
      Q32  0.7811317
       Q5  0.7806409
      Q10  0.7647651
      Q25  0.7453415
      Q22  0.7246534
      Q29  0.6642100
       Q8  0.6566167
       Q3  0.5596752
       Q6  0.5549488
      Q14  0.5237380
      Q40  0.4285912
      Q11  0.4165864
      Q12  0.3340171
       Q9  0.2575950
      Q19  0.2318783
       Q2 -0.2855215
       Q1 -0.3043662
