 QUESTION     FORCE
      Q36 1.7152476
      Q27 1.3485630
      Q25 1.2556694
      Q30 1.2438426
      Q21 1.2252165
      Q34 1.1875624
      Q35 1.1741029
      Q18 1.1391808
      Q31 1.1042869
      Q26 1.0775182
      Q39 1.0593754
      Q24 1.0561831
      Q16 1.0555668
      Q37 1.0134217
      Q33 1.0079927
      Q40 0.9974801
      Q38 0.9904027
      Q13 0.9583371
      Q17 0.8996982
      Q28 0.8751468
      Q42 0.8612964
      Q32 0.7848107
       Q1 0.7553015
      Q20 0.7408089
      Q11 0.7146797
      Q22 0.7076909
      Q10 0.6973287
      Q29 0.6600292
       Q5 0.6382119
       Q8 0.6038381
       Q3 0.5832346
       Q6 0.5305055
      Q14 0.5151411
       Q9 0.4794643
      Q12 0.4556053
       Q2 0.3325871
      Q19 0.2827518
