 QUESTION       FORCE
      Q39  1.28317687
      Q40  1.27111647
      Q38  1.21268227
      Q21  1.15305609
      Q16  1.14973854
      Q35  1.13817244
      Q18  1.12885032
      Q37  1.09043674
      Q17  1.08441656
      Q13  1.07135972
      Q42  1.06515083
      Q28  1.05388214
      Q33  1.04516686
      Q34  1.02223200
      Q24  0.97863604
      Q27  0.97844855
      Q26  0.97209923
      Q22  0.95530301
      Q31  0.94313827
      Q11  0.89016140
      Q32  0.88431027
      Q29  0.81134262
      Q30  0.80769288
      Q14  0.77828985
       Q6  0.74734645
      Q12  0.72707991
      Q10  0.66326462
       Q9  0.63846319
       Q3  0.61854985
       Q8  0.61496693
       Q5  0.41769881
       Q1  0.16393747
       Q2 -0.06679334
