 QUESTION        FORCE
      Q39  1.270093144
      Q27  1.204845602
      Q36  1.196002541
      Q13  1.189232027
      Q34  1.186064460
      Q21  1.166480384
      Q37  1.147671130
      Q28  1.103632307
      Q40  1.003581709
      Q24  1.003453495
      Q33  0.996739791
      Q35  0.988520971
      Q42  0.984989352
      Q32  0.978401925
      Q38  0.964186205
      Q31  0.956476584
      Q17  0.952718036
      Q26  0.909125240
      Q16  0.907567495
      Q18  0.889534649
      Q20  0.880186596
      Q30  0.839776568
      Q22  0.764715079
      Q11  0.764270328
      Q14  0.747462441
      Q29  0.695851330
       Q6  0.689481652
       Q8  0.677142347
      Q10  0.670239541
       Q5  0.578701375
       Q3  0.516629431
      Q12  0.515353460
       Q9  0.455261862
       Q1  0.397988758
       Q2 -0.002969583
