 QUESTION      FORCE
      Q36 1.49672777
      Q39 1.31567156
      Q27 1.27234069
      Q13 1.27192313
      Q34 1.23685868
      Q21 1.22858191
      Q37 1.13588151
      Q28 1.10229886
      Q32 1.05863210
      Q42 1.04721616
      Q24 1.02867128
      Q35 1.01456738
      Q40 1.00841369
      Q17 0.97868936
      Q33 0.96361952
      Q38 0.95361663
      Q31 0.94966442
      Q16 0.90538831
      Q26 0.90236128
      Q18 0.89790591
      Q20 0.86392446
      Q30 0.83690458
      Q22 0.79905952
      Q11 0.78907188
       Q8 0.75851975
      Q14 0.74949622
      Q29 0.72477990
      Q10 0.68474790
       Q6 0.68356269
       Q5 0.61588363
       Q3 0.54004339
      Q12 0.53895095
       Q9 0.52346744
       Q1 0.36152434
       Q2 0.01826835
