 QUESTION      FORCE
      Q39 1.29323744
      Q36 1.23670859
      Q27 1.23230555
      Q21 1.21266600
      Q13 1.20265163
      Q34 1.20240639
      Q37 1.16871287
      Q28 1.15373667
      Q40 1.06536769
      Q32 1.05230623
      Q24 1.04397869
      Q42 1.04292966
      Q33 1.03702881
      Q35 1.03346019
      Q38 1.02412698
      Q31 0.98567112
      Q17 0.97322062
      Q26 0.93972509
      Q16 0.93466942
      Q20 0.92010709
      Q30 0.91544143
      Q18 0.89028961
      Q22 0.83953530
      Q11 0.77564216
      Q14 0.76637116
      Q29 0.76142585
       Q8 0.74242100
      Q10 0.69882421
       Q6 0.68745663
       Q5 0.60390379
       Q9 0.58021994
       Q3 0.56589970
      Q12 0.53709537
       Q1 0.39811335
       Q2 0.05231513
