 QUESTION      FORCE
      Q39 1.23041916
      Q34 1.19504961
      Q24 1.17786277
      Q27 1.17691436
      Q21 1.13067883
      Q37 1.11638732
      Q30 1.10327245
      Q17 1.10021315
      Q13 1.07028475
      Q35 1.05810165
      Q26 1.02039181
      Q22 1.01557086
      Q33 1.01380824
      Q11 1.00851640
      Q32 0.98306394
      Q16 0.97794893
      Q38 0.95895353
      Q28 0.91104271
      Q40 0.90113478
      Q14 0.87942901
      Q18 0.86968697
      Q42 0.85267140
      Q31 0.82841693
       Q6 0.82156364
      Q29 0.70822881
       Q9 0.58398155
      Q12 0.51480227
       Q8 0.50212240
       Q5 0.49408793
      Q10 0.48109657
       Q1 0.39758236
       Q3 0.33449459
       Q2 0.04965256
