 QUESTION     FORCE
      Q36 1.5958668
      Q27 1.3466346
      Q34 1.3070089
      Q38 1.2353538
      Q39 1.2070164
      Q37 1.1194732
      Q16 1.1059358
      Q33 1.0918517
      Q25 1.0845996
      Q26 1.0521238
      Q35 0.9830521
      Q40 0.9731760
      Q31 0.9669709
      Q32 0.9437371
      Q30 0.9363276
      Q28 0.9169030
      Q21 0.9161556
      Q13 0.8987330
      Q24 0.8816864
      Q29 0.8409906
      Q42 0.8031406
      Q17 0.7953336
      Q20 0.7708296
      Q14 0.7241089
      Q10 0.7002562
      Q11 0.6902335
       Q9 0.6605793
      Q18 0.6602909
      Q22 0.6601050
       Q8 0.6006571
      Q12 0.4329901
       Q3 0.3499377
      Q19 0.3320809
       Q5 0.3263620
       Q6 0.2707125
       Q1 0.2077765
       Q2 0.1019368
