 QUESTION     FORCE
      Q36 1.6450360
      Q27 1.3881289
      Q34 1.3267114
      Q38 1.2684063
      Q39 1.2511885
      Q37 1.1604743
      Q33 1.1484618
      Q16 1.1322540
      Q26 1.0855688
      Q25 1.0784189
      Q35 1.0428652
      Q40 1.0284284
      Q32 1.0030955
      Q31 0.9830206
      Q30 0.9715074
      Q28 0.9477252
      Q24 0.9270624
      Q21 0.9255054
      Q13 0.9242202
      Q29 0.8851942
      Q42 0.8446182
      Q17 0.8269531
      Q20 0.8178211
      Q22 0.8030590
      Q14 0.7428006
      Q11 0.7188655
       Q9 0.6842922
      Q10 0.6830693
      Q18 0.6507680
       Q8 0.5891732
      Q12 0.4645251
       Q5 0.4150783
       Q3 0.4037641
      Q19 0.3424676
       Q6 0.2921567
       Q1 0.2147727
       Q2 0.1170466
