 QUESTION       FORCE
      Q21  1.23178099
      Q38  1.20745343
      Q34  1.15445299
      Q35  1.13430545
      Q24  1.11679009
      Q39  1.10001540
      Q27  1.09581786
      Q17  1.08990108
      Q30  1.07989716
      Q26  1.05980000
      Q40  1.05393490
      Q33  1.01770459
      Q18  1.00759597
      Q16  1.00705389
      Q37  0.98605699
      Q22  0.94106504
      Q13  0.93967562
      Q28  0.92222303
      Q11  0.91946952
       Q6  0.87755019
      Q32  0.82340993
      Q31  0.81483870
      Q29  0.81323398
      Q42  0.74293419
      Q14  0.68180346
       Q8  0.67977960
       Q3  0.66910038
      Q10  0.63779665
      Q20  0.61237271
       Q9  0.52564410
      Q12  0.47784928
       Q5  0.44739907
       Q1  0.19357121
       Q2 -0.01683968
