 QUESTION       FORCE
      Q15  2.68308199
      Q23  1.39797670
      Q36  1.22730446
      Q38  1.18284804
      Q39  1.17327263
      Q16  1.15201261
      Q34  1.12554073
      Q26  1.11938625
      Q41  1.09092788
      Q42  1.07804368
      Q32  1.02773742
      Q37  1.02647003
      Q35  1.01622161
      Q40  1.00663372
      Q33  1.00536348
      Q24  1.00138329
      Q21  0.98641881
      Q31  0.97291357
      Q28  0.96771684
      Q30  0.94612219
      Q17  0.90583962
      Q20  0.90320625
      Q13  0.89486026
       Q7  0.87872100
       Q4  0.81736630
      Q22  0.81403093
      Q18  0.74834067
      Q19  0.67289897
       Q3  0.58105497
      Q11  0.58008553
      Q29  0.57680399
      Q25  0.53345543
      Q10  0.51883850
       Q9  0.48014956
      Q27  0.47658091
       Q1  0.46153552
      Q14  0.43737399
       Q8  0.38781942
       Q5  0.33697306
      Q12  0.27223815
       Q6 -0.03956805
       Q2 -0.40479517
