 QUESTION      FORCE
      Q38  1.3125549
      Q26  1.2764056
      Q28  1.2482717
      Q34  1.2294513
      Q32  1.2126451
      Q39  1.2009298
      Q16  1.1475366
      Q33  1.0956586
      Q11  1.0786029
      Q37  1.0711244
      Q42  1.0545730
      Q31  1.0544547
      Q18  1.0349957
      Q35  0.9936792
      Q27  0.9626481
      Q22  0.9538944
      Q14  0.9380118
      Q21  0.9182880
      Q24  0.9106039
      Q29  0.8638876
      Q13  0.8421618
      Q40  0.8309850
      Q17  0.7942942
      Q10  0.7635186
       Q8  0.7366334
      Q12  0.6830104
       Q3  0.6710991
       Q6  0.6459349
      Q30  0.6332976
       Q5  0.5265383
       Q9  0.4302526
       Q1  0.2640894
       Q2 -0.0392263
