 QUESTION     FORCE
      Q39 1.4002342
      Q27 1.2569778
      Q36 1.2505266
      Q34 1.2212346
      Q35 1.2115354
      Q33 1.1976795
      Q21 1.1868928
      Q24 1.1665148
      Q26 1.1306457
      Q38 1.1074104
      Q37 1.0954709
      Q32 1.0472102
      Q40 1.0237700
      Q30 1.0118058
      Q17 1.0101261
      Q18 1.0088297
      Q28 0.9965574
      Q16 0.9837092
      Q31 0.9412521
      Q42 0.9000489
      Q29 0.8595818
      Q22 0.8438103
      Q20 0.8379584
      Q13 0.8113050
      Q11 0.7515044
       Q6 0.7299432
      Q10 0.6769861
       Q1 0.6681999
      Q14 0.6605429
      Q25 0.5959324
       Q3 0.5719386
       Q8 0.5226655
       Q9 0.5196586
      Q12 0.5181729
       Q5 0.4524607
       Q2 0.2681041
