"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","GENDER","EVENT","EVENT_TYPE"
"chatcmpl-8MN5GUSryuirAkLaCB28SyE6BlxtT",2,1,2,1,2,2,1,3,2,1,2,3,2,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,2,3,2,2,1,1,1,2,1,1,2,"F",1,"="
"chatcmpl-8MN7fx9v645mNXl3krDvFLlq32Sfs",2,2,2,1,2,2,1,4,2,2,2,3,2,2,1,3,1,2,1,2,2,3,1,3,1,3,2,2,3,2,3,2,3,2,3,2,2,3,2,2,1,2,"F",1,"="
"chatcmpl-8MNBETVYRcfXT9XjYnuSrm95kl081",2,1,1,1,2,2,1,3,1,2,2,2,2,2,1,2,1,2,1,1,2,3,1,2,2,2,2,1,3,1,2,2,2,1,2,1,1,2,2,1,1,2,"F",1,"="
"chatcmpl-8MNEPJpYlnwkYnmGhi976W8aiWJOQ",2,1,1,1,2,2,1,3,3,1,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,"F",1,"="
"chatcmpl-8MNGs98hCJw9A3Ptq2yeGQgLeoPcG",1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"F",1,"="
"chatcmpl-8MNJ2116kdKgGWwKUBhDxYRhVvsee",1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"F",1,"="
"chatcmpl-8MNLIvEXcAZ2Lub2T8tci4ylzvnVE",2,1,2,1,3,2,1,3,2,2,2,3,2,1,1,2,2,2,1,1,2,3,1,2,1,2,3,1,3,2,2,2,2,1,2,1,2,2,2,1,1,3,"F",1,"="
"chatcmpl-8MNO6uz0U8JnTcBmxkN30MhchGSMR",2,2,1,1,2,2,1,3,1,1,2,3,1,2,1,1,1,2,1,1,1,3,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,2,"F",1,"="
"chatcmpl-8MNPcfwIAkxd0jxLsj15dud9CI3vE",2,1,1,1,3,2,1,3,2,2,2,3,1,2,1,1,1,2,1,1,1,3,1,1,1,1,2,1,3,1,1,3,2,1,2,1,1,1,2,1,1,2,"F",1,"="
"chatcmpl-8MNQjyacbomiktJnJtKJNNByigfBb",1,1,1,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,"F",1,"="
"chatcmpl-8MNSU19nG6YLe0QreOzLPHnkxvOdZ",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"F",1,"="
"chatcmpl-8MNUExgiXBLQZ3kQClvLW3Iyqxc7Q",2,1,2,1,3,2,1,2,2,2,2,3,3,2,1,3,2,2,1,2,2,3,1,3,1,4,2,1,2,1,3,2,3,2,2,1,3,3,2,2,1,2,"F",1,"="
"chatcmpl-8Ptg3DezMrGma0GdVi06Ok5g9Y5os",2,1,2,1,2,2,1,3,3,2,2,2,1,3,1,1,1,2,1,1,1,3,1,1,1,1,2,1,2,1,2,2,3,1,2,1,1,1,2,1,1,2,"F",1,"="
"chatcmpl-8PtkAqtcdqRxG9gcwWvjSu2s61NU8",2,1,3,1,2,2,1,4,4,3,2,3,3,2,1,3,3,2,1,2,2,3,1,3,1,3,3,4,3,2,3,2,3,3,2,3,3,3,2,3,1,2,"F",1,"="
"chatcmpl-8PtmUxwYw8JmsbbydG8c9w8H5j2zv",2,1,2,1,2,2,1,3,2,2,2,2,2,2,1,2,2,2,1,2,2,3,1,2,1,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,1,2,"F",1,"="
"chatcmpl-8PtooEbP0qdTGgJaACN54EjWZJjlf",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"F",1,"="
"chatcmpl-8PtqajgOrAO2FbG5jQzt54u6igluT",2,1,1,1,2,2,1,3,1,1,2,2,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,"F",1,"="
