"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","GENDER","EVENT","EVENT_TYPE"
"chatcmpl-8MMDVExAxYYzsu78oVKaTtss9yS2F",2,1,1,1,3,2,1,3,2,2,2,3,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,1,3,1,2,2,3,1,2,1,2,1,2,2,1,2,"M",4,"="
"chatcmpl-8MMFBCyUJu1DXNu3JfX578f13k26L",1,1,2,1,2,2,1,3,2,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,"M",4,"="
"chatcmpl-8MMGgFn71legK7GcNwY88ecCkBKFn",3,1,2,1,2,2,1,4,3,2,3,3,3,2,1,3,3,2,1,2,3,4,1,3,1,3,3,2,3,2,3,2,3,3,2,2,3,3,3,2,2,2,"M",4,"="
"chatcmpl-8MMJkWEuT2f6XjjgRTbDSWi6uPm0u",2,1,2,1,3,2,1,3,2,2,2,3,2,2,1,2,1,2,1,1,2,3,1,3,1,3,2,1,2,2,2,2,3,1,3,1,2,2,2,2,1,3,"M",4,"="
"chatcmpl-8MMMTTacBbzrnNKqxTXcFrwvJX9s7",3,1,3,1,3,2,1,4,2,2,2,3,3,2,1,3,2,2,1,2,2,3,1,3,2,3,2,3,3,2,2,2,3,2,2,3,2,3,2,2,1,2,"M",4,"="
"chatcmpl-8MMP7fCcvsbuKM75uKXIQcqH0PQiv",2,1,2,1,3,2,1,3,2,1,2,2,1,2,1,2,1,2,1,1,1,3,1,2,1,1,2,1,3,1,2,2,2,1,2,1,1,1,2,1,1,2,"M",4,"="
"chatcmpl-8MMUPrDlg2eEvEQQ2tMa6zvBuLu3E",2,1,1,1,2,2,1,3,2,1,2,3,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,2,"M",4,"="
"chatcmpl-8MMWKOv5K24J4Lphv9dNi7KxzuxjY",1,1,2,1,3,2,1,3,1,2,2,3,1,2,1,2,2,1,1,1,2,3,1,2,1,2,2,1,2,1,2,2,3,1,2,1,2,2,2,1,2,2,"M",4,"="
"chatcmpl-8MMYHF0QerwwUeops4z2jKbKe3uOo",2,1,2,1,3,2,1,3,2,2,2,2,2,2,1,2,2,2,1,1,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,1,2,"M",4,"="
"chatcmpl-8MMaOOWwdl3AFWBEGZYebGaVDOzis",2,1,2,1,2,2,1,3,2,2,2,2,1,2,1,2,1,2,2,1,2,3,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,"M",4,"="
"chatcmpl-8PZFTxsm2bjYm4wOJhWeItiRhVM4s",2,1,1,1,2,2,1,3,1,1,2,2,1,2,1,2,1,2,1,1,1,4,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1,2,"M",4,"="
"chatcmpl-8PZHhbuaak1u2FkrvUHbwNMzowzMx",2,1,1,1,2,2,1,3,2,2,2,2,2,3,1,3,1,2,1,1,2,3,1,2,1,2,2,1,2,1,2,3,2,1,2,1,2,1,2,1,1,2,"M",4,"="
"chatcmpl-8PZJgTop1h2cS8NBkfe94HuWg2iYs",2,1,1,1,2,2,1,3,1,2,2,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,"M",4,"="
"chatcmpl-8PZT3CUSCrQ24wbMRVK49HhJcdsXW",2,1,1,1,2,1,1,2,1,1,2,3,1,3,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,3,2,1,2,1,1,1,2,1,1,2,"M",4,"="
"chatcmpl-8PZUo5oyGmeqFcQGtP7TEn23z9EPB",2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,"M",4,"="
"chatcmpl-8PZWJzaOu7fcPP5PqOd5hhrqVRjOQ",2,1,2,1,2,2,1,3,1,1,2,3,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,"M",4,"="
"chatcmpl-8PZXyggo9S0WJV8y467Jmlhj08n6a",2,1,2,1,2,2,1,3,3,2,2,2,2,2,1,2,2,2,1,1,2,3,1,2,1,2,2,1,2,2,2,3,3,2,3,1,2,2,2,2,1,3,"M",4,"="
"chatcmpl-8PZiSLhvc9qSqL5s5hr0WhB8M2Zu0",2,1,1,1,2,2,1,3,2,1,2,2,1,2,1,1,1,2,1,1,1,3,1,1,1,1,2,1,2,1,2,3,2,1,3,1,1,1,2,1,1,1,"M",4,"="
"chatcmpl-8PZmrDNKjPW0EEHTYVioaaxhf719X",1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M",4,"="
"chatcmpl-8PZo2AGcOTlh9dbDwsBtclyVFL5o4",1,1,1,1,2,2,1,3,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,"M",4,"="
"chatcmpl-8PZuW59Yflmk8VDp60iYJJufBYeS3",1,1,2,1,1,2,1,2,3,2,2,2,2,1,1,2,2,1,1,1,2,3,1,2,1,2,2,1,3,1,2,2,2,2,2,1,1,1,2,1,1,2,"M",4,"="
"chatcmpl-8PZwSm2qsiHW33ykY2BsMHlYlX9ts",2,1,1,1,3,2,1,3,2,2,2,3,1,3,1,3,2,2,2,1,3,3,1,3,1,1,2,2,3,2,3,2,3,2,2,1,3,3,2,2,1,3,"M",4,"="
"chatcmpl-8PZyOcRGlkqe4eAuBF5gYE0jiELOS",2,1,3,1,3,2,1,3,2,2,2,3,2,2,1,3,2,2,1,2,2,3,1,3,2,2,2,2,3,2,2,3,3,2,3,2,2,2,2,3,1,2,"M",4,"="
"chatcmpl-8Pa0MKPWkhWKfJ98ih5yVtKy0BcoJ",1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M",4,"="
"chatcmpl-8Pa3uwPsLIQN1Xd07rTqUHU8OErjC",2,1,1,1,2,2,1,3,2,1,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1,2,2,1,2,1,2,3,2,1,2,1,1,2,2,1,1,2,"M",4,"="
